"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
2,0,0,1,0,1,0,0,1,3,0,0,1,0,0,3,0,0,1,0,0,2,0,1,"AlegriaNeutro"
1,0,0,3,0,1,0,0,1,3,1,0,1,0,0,4,0,0,0,1,1,0,0,3,"AlegriaNeutro"
2,0,1,1,1,0,1,0,2,1,1,0,0,0,0,5,0,0,2,1,0,1,1,0,"Tristeza"
2,0,2,0,1,0,1,1,1,1,1,0,1,0,0,4,0,0,0,1,2,1,0,1,"RaivaTristeza"
3,0,0,1,0,2,0,0,1,3,2,0,0,2,0,4,0,0,2,1,1,0,0,2,"Tristeza"
0,0,1,3,1,1,0,0,3,3,0,0,2,0,0,4,0,0,0,0,2,2,0,1,"Tristeza"
2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,"DesgostoSurpresa"
0,0,3,2,0,1,0,0,2,4,0,0,1,0,2,3,0,0,0,0,1,4,0,1,"Alegria"
2,0,1,2,0,2,0,0,2,4,1,0,2,0,1,4,0,0,1,0,3,1,1,1,"Tristeza"
0,2,1,2,0,0,0,0,2,1,1,1,1,0,0,4,0,0,2,0,2,0,0,1,"Surpresa"
1,0,0,5,0,0,1,0,4,1,0,0,0,0,0,6,0,0,1,0,4,0,0,1,"Tristeza"
0,0,3,0,0,1,0,0,1,3,0,0,1,0,1,2,0,0,0,0,2,1,0,1,"Neutro"
1,0,2,2,1,0,1,0,2,3,0,0,1,0,0,5,0,0,1,1,3,0,0,1,"Neutro"
0,0,0,7,0,0,0,0,3,4,0,0,0,0,1,6,0,0,1,0,4,2,0,0,"Tristeza"
1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,"Medo"
2,0,0,3,0,1,1,0,2,2,0,1,0,0,0,5,1,0,2,0,2,2,0,0,"Surpresa"
1,0,0,3,0,0,0,1,2,0,0,1,0,0,0,4,0,0,0,1,3,0,0,0,"Surpresa"
0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Surpresa"
0,0,2,3,0,0,0,0,1,4,0,0,0,0,2,3,0,0,0,0,2,3,0,0,"Neutro"
